prod_id,product_name,category,subcategory,price,cost,sku,is_active
1,Customizable static neural-net,Sports,Attorney,194.64,93.31,PF-5352,True
2,Ergonomic impactful analyzer,Sports,Help,104.39,136.82,HF-0791,True
3,Switchable solution-oriented Graphic Interface,Sports,Which,247.66,49.97,HZ-8998,True
4,Versatile needs-based project,Sports,Deep,240.63,20.29,WM-4527,True
5,Implemented responsive interface,Apparel,International,47.05,10.98,BF-6617,True
6,Customer-focused fresh-thinking open architecture,Apparel,Member,87.28,17.46,YX-9647,False
7,Horizontal zero administration software,Toys,Say,70.49,29.25,FT-0803,True
8,Reverse-engineered value-added orchestration,Apparel,Occur,50.33,28.31,BD-2508,False
9,Innovative human-resource core,Electronics,He,359.32,278.7,HL-8068,True
10,Profound holistic software,Toys,Say,15.9,15.04,LO-0317,True
11,Universal foreground archive,Home,Send,251.46,20.28,ON-3739,True
12,Advanced 6thgeneration implementation,Home,Describe,186.61,149.77,QV-1403,True
13,Enhanced human-resource emulation,Toys,Hot,16.81,41.94,MP-6022,False
14,Secured static firmware,Home,Us,160.13,92.93,PV-6943,True
15,Future-proofed incremental solution,Sports,Action,24.37,68.21,MX-6664,True
16,Pre-emptive eco-centric policy,Sports,Action,73.84,19.15,QS-6072,True
17,Face-to-face asynchronous productivity,Home,Building,181.35,139.25,LI-1271,True
18,Inverse composite support,Toys,Establish,54.3,27.65,SK-6484,True
19,Fundamental bi-directional task-force,Apparel,Call,149.57,41.49,FM-6318,False
20,De-engineered multi-state alliance,Electronics,Manager,261.5,134.34,CY-7113,True
21,Enterprise-wide attitude-oriented task-force,Electronics,Rule,435.98,112.35,XC-1369,False
22,User-centric client-server intranet,Home,Picture,205.52,76.88,UU-0833,True
23,Balanced non-volatile access,Toys,Claim,13.37,16.64,DM-5425,True
24,Stand-alone analyzing infrastructure,Toys,Husband,87.17,49.85,OL-2481,True
25,Self-enabling content-based groupware,Sports,Really,123.56,13.81,PM-7071,True
26,Progressive executive open architecture,Sports,College,192.76,96.06,HR-2850,True
27,Cloned incremental model,Apparel,Nor,47.39,15.27,XC-0925,True
28,Digitized bi-directional software,Toys,East,88.68,30.11,DY-0609,True
29,Visionary non-volatile capability,Sports,Tough,202.84,108.21,EB-3098,True
30,Streamlined methodical orchestration,Sports,Quite,18.21,64.75,CV-6496,True
31,Front-line systemic matrix,Electronics,Position,257.65,52.89,JD-4577,True
32,Public-key high-level definition,Toys,Charge,93.6,18.93,KX-4264,True
33,User-centric 3rdgeneration Internet solution,Toys,Support,84.3,58.85,AT-4207,True
34,Quality-focused discrete initiative,Toys,Car,57.37,24.25,AD-5366,True
35,Upgradable local intranet,Electronics,Important,174.31,241.2,QZ-7555,False
36,Devolved uniform moderator,Home,Describe,281.59,95.33,MU-3339,True
37,Switchable zero tolerance process improvement,Home,Himself,223.29,152.05,PT-7865,False
38,Extended hybrid circuit,Apparel,Many,72.52,45.65,XN-1874,True
39,Open-source actuating customer loyalty,Sports,Director,194.28,60.32,HB-5826,True
40,Enterprise-wide leadingedge algorithm,Apparel,Rule,147.31,24.54,RV-3692,False
41,Synergized non-volatile throughput,Apparel,Clearly,129.84,39.33,AU-6932,True
42,Persistent dynamic support,Toys,Case,72.0,49.06,HV-7599,False
43,Self-enabling 5thgeneration service-desk,Apparel,Bill,79.35,7.18,DV-1100,True
44,Cross-group foreground help-desk,Electronics,Degree,443.39,143.29,XN-2341,False
45,Intuitive optimal knowledge user,Electronics,May,375.1,134.79,GZ-5244,True
46,Realigned cohesive collaboration,Electronics,Common,261.27,291.38,AK-6189,True
47,Realigned neutral product,Sports,Manager,177.79,99.58,CG-4312,True
48,Versatile 6thgeneration challenge,Sports,Up,104.3,51.6,KX-6767,False
49,Ameliorated optimizing solution,Sports,Television,23.44,15.85,LC-5799,True
50,Ameliorated mobile secured line,Apparel,Our,114.55,41.32,EL-5515,True
